Level1,Level2,Level3,Level4,Federal,Total,Paper_ID,Top_Words1,Top_Topic1,KCluster
2002-2005,4,Infinite latent feature models and the Indian buffet process,The Kernel Beta Process,2.495,2.495,2882,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,4,Infinite latent feature models and the Indian buffet process,Inferring Interaction Networks using the IBP applied to microRNA Target Prediction,3.026,3.026,2882,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,4,Infinite latent feature models and the Indian buffet process,Infinite Latent SVM for Classification and Multi-task Learning,143.547,143.547,2882,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,4,Infinite latent feature models and the Indian buffet process,Truncation-free Online Variational Inference for Bayesian Nonparametric Models,0.16,0.16,2882,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,4,Infinite latent feature models and the Indian buffet process,Nonparametric Max-Margin Matrix Factorization for Collaborative Prediction,3.339,3.339,2882,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,4,Infinite latent feature models and the Indian buffet process,Effective Split-Merge Monte Carlo Methods for Nonparametric Models of Sequential Data,0.196,0.196,2882,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,4,Infinite latent feature models and the Indian buffet process,Augment-and-Conquer Negative Binomial Processes,6.953,6.953,2882,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,4,Infinite latent feature models and the Indian buffet process,Factorial LDA: Sparse Multi-Dimensional Text Models,3.649,3.649,2882,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,4,Infinite latent feature models and the Indian buffet process,Joint Modeling of a Matrix with Associated Text via Latent Binary Features,0.59,0.59,2882,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,4,Infinite latent feature models and the Indian buffet process,Bayesian nonparametric models for bipartite graphs,20.844,20.844,2882,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,4,Infinite latent feature models and the Indian buffet process,Restricting exchangeable nonparametric distributions,6.95,6.95,2882,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,4,Infinite latent feature models and the Indian buffet process,Efficient Online Inference for Bayesian Nonparametric Relational Models,21.257,21.257,2882,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,4,Infinite latent feature models and the Indian buffet process,Beta-Negative Binomial Process and Exchangeable ?Random Partitions for Mixed-Membership Modeling,3.933,3.933,2882,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,4,Infinite latent feature models and the Indian buffet process,"Streaming, Distributed Variational Inference for Bayesian Nonparametrics",0.322,0.322,2882,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,4,Infinite latent feature models and the Indian buffet process,Finite-Dimensional BFRY Priors and Variational Bayesian Inference for Power Law Models,14.103,14.103,2882,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2005-2008,5,Infinite latent feature models and the Indian buffet process,Modeling Dyadic Data with Binary Latent Factors,2.395,2.395,2882,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,5,Infinite latent feature models and the Indian buffet process,A Nonparametric Bayesian Method for Inferring Features From Similarity Judgments,0.0,228.9,2882,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,5,Infinite latent feature models and the Indian buffet process,Particle Filtering for Nonparametric Bayesian Matrix Factorization,0.0,5.4,2882,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,5,Infinite latent feature models and the Indian buffet process,The Infinite Gamma-Poisson Feature Model,0.0,0.0,2882,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,5,Infinite latent feature models and the Indian buffet process,Analyzing human feature learning as nonparametric Bayesian inference,194.019,194.019,2882,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,5,Infinite latent feature models and the Indian buffet process,Indian Buffet Processes with Power-law Behavior,4.082,4.082,2882,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,5,Infinite latent feature models and the Indian buffet process,Large Scale Nonparametric Bayesian Inference: Data Parallelisation in the Indian Buffet Process,8.985,8.985,2882,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,5,Infinite latent feature models and the Indian buffet process,Sharing Features among Dynamical Systems with Beta Processes,0.215,0.215,2882,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,5,Infinite latent feature models and the Indian buffet process,Construction of Nonparametric Bayesian Models from Parametric Bayes Equations,4.4,4.4,2882,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,5,Infinite latent feature models and the Indian buffet process,Bayesian Nonparametric Models on Decomposable Graphs,0.424,0.424,2882,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,5,Infinite latent feature models and the Indian buffet process,Learning invariant features using the Transformed Indian Buffet Process,56.194,56.194,2882,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,5,Infinite latent feature models and the Indian buffet process,The Kernel Beta Process,54.735,54.735,2882,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,5,Infinite latent feature models and the Indian buffet process,Inferring Interaction Networks using the IBP applied to microRNA Target Prediction,5.87,5.87,2882,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,5,Infinite latent feature models and the Indian buffet process,Infinite Latent SVM for Classification and Multi-task Learning,10.513,10.513,2882,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,5,Infinite latent feature models and the Indian buffet process,Truncation-free Online Variational Inference for Bayesian Nonparametric Models,20.811,20.811,2882,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,5,Infinite latent feature models and the Indian buffet process,Nonparametric Max-Margin Matrix Factorization for Collaborative Prediction,0.225,0.225,2882,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,5,Infinite latent feature models and the Indian buffet process,Effective Split-Merge Monte Carlo Methods for Nonparametric Models of Sequential Data,0.134,0.134,2882,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,5,Infinite latent feature models and the Indian buffet process,Augment-and-Conquer Negative Binomial Processes,1.126,1.126,2882,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,5,Infinite latent feature models and the Indian buffet process,Factorial LDA: Sparse Multi-Dimensional Text Models,5.8,5.8,2882,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,5,Infinite latent feature models and the Indian buffet process,Joint Modeling of a Matrix with Associated Text via Latent Binary Features,0.672,0.672,2882,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,5,Infinite latent feature models and the Indian buffet process,Bayesian nonparametric models for bipartite graphs,3.552,3.552,2882,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,5,Infinite latent feature models and the Indian buffet process,Restricting exchangeable nonparametric distributions,273.401,273.401,2882,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,5,Infinite latent feature models and the Indian buffet process,Efficient Online Inference for Bayesian Nonparametric Relational Models,3.761,3.761,2882,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,5,Infinite latent feature models and the Indian buffet process,Beta-Negative Binomial Process and Exchangeable ?Random Partitions for Mixed-Membership Modeling,264.336,264.336,2882,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,5,Infinite latent feature models and the Indian buffet process,"Streaming, Distributed Variational Inference for Bayesian Nonparametrics",2.195,2.195,2882,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,5,Infinite latent feature models and the Indian buffet process,Finite-Dimensional BFRY Priors and Variational Bayesian Inference for Power Law Models,281.418,281.418,2882,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2011-2014,6,Linear decision rule as aspiration for simple decision heuristics,Learning From Small Samples: An Analysis of Simple Decision Heuristics,0.399,0.399,4888,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
1999-2002,7,Prodding the ROC Curve: Constrained Optimization of Classifier Performance,Confidence Intervals for the Area Under the ROC Curve,75.119,75.119,2095,"[u'classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
1993-1996,8,Independent Component Analysis of Electroencephalographic Data,Extended ICA Removes Artifacts from Electroencephalographic Recordings,0.61,0.61,1091,"[u'eeg', u'lea', u'ica', u'data', u'independent', u'source', u'channels', u'analysis', u'algorithm', u'brain']",[8],9
2008-2011,9,Efficient Minimization of Decomposable Submodular Functions,From MAP to Marginals: Variational Inference in Bayesian Submodular Models,0.767,0.767,4028,"[u'submodular', u'function', u'functions', u'algorithm', u'minimization', u'potentials', u'set', u'concave', u'slg', u'problem']",[2],8
2008-2011,9,Efficient Minimization of Decomposable Submodular Functions,Cooperative Graphical Models,0.0,28.2,4028,"[u'submodular', u'function', u'functions', u'algorithm', u'minimization', u'potentials', u'set', u'concave', u'slg', u'problem']",[2],8
2008-2011,10,Evaluating the inverse decision-making approach to preference learning,Rational inference of relative preferences,0.0,72.6,4372,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,10,Evaluating the inverse decision-making approach to preference learning,Magnitude-sensitive preference formation`,0.0,144.1,4372,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2011-2014,11,Evaluating the inverse decision-making approach to preference learning,Rational inference of relative preferences,0.0,0.0,4372,"[u'decision', u'model', u'effects', u'rankings', u'models', u'feature', u'decisions', u'utility', u'preference', u'participants']",[6],3
2011-2014,11,Evaluating the inverse decision-making approach to preference learning,Magnitude-sensitive preference formation`,0.0,1.4,4372,"[u'decision', u'model', u'effects', u'rankings', u'models', u'feature', u'decisions', u'utility', u'preference', u'participants']",[6],3
1987-1990,12,A Programmable Analog Neural Computer and Simulator,A Reconfigurable Analog VLSI Neural Network Chip,0.0,6.2,166,"[u'neuron', u'neurons', u'synapse', u'time', u'analog', u'digital', u'synaptic', u'computer', u'input', u'output']",[5],6
2011-2014,13,"Stochastic Gradient Descent, Weighted Sampling, and the Randomized Kaczmarz algorithm",SGD Algorithms based on Incomplete U-statistics: Large-Scale Minimization of Empirical Risk,0.0,0.0,5355,"[u'matrix', u'linear', u'algorithm', u'sampling', u'sgd', u'factorization', u'hott', u'rows', u'nonnegative', u'convex']",[6],2
2014-2017,0,"Stochastic Gradient Descent, Weighted Sampling, and the Randomized Kaczmarz algorithm",SGD Algorithms based on Incomplete U-statistics: Large-Scale Minimization of Empirical Risk,0.0,0.6,5355,"[u'sampling', u'sgd', u'linear', u'dependence', u'sup', u'k22', u'convergence', u'convex', u'weighted', u'weights']",[3],2
1987-1990,1,Presynaptic Neural Information Processing,"Does the Neuron ""Learn"" like the Synapse?",0.0,3.2,84,"[u'axon', u'conduction', u'activity', u'threshold', u'impulse', u'figure', u'nerve', u'single', u'frequency', u'firing']",[4],4
2005-2008,2,Speakers optimize information density through syntactic reduction,Inference and communication in the game of Password,0.0,0.0,3129,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,2,Speakers optimize information density through syntactic reduction,Why are some word orders more common than others? A uniform information density account,0.115,0.115,3129,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2008-2011,3,An LP View of the M-best MAP problem,Maximum Margin Multi-Label Structured Prediction,0.455,0.455,3745,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,3,An LP View of the M-best MAP problem,Multiple Choice Learning: Learning to Produce Multiple Structured Outputs,0.373,0.373,3745,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2011-2014,4,Expectation Propagation in Gaussian Process Dynamical Systems,Gaussian Process Volatility Model,0.132,0.132,4707,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2011-2014,5,Robustness and risk-sensitivity in Markov decision processes,Policy Gradient for Coherent Risk Measures,0.051,0.051,4693,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
1999-2002,6,Dynamical Causal Learning,The Rescorla-Wagner Algorithm and Maximum Likelihood Estimation of Causal Parameters,0.947,0.947,2158,"[u'causal', u'model', u'learning', u'power', u'theory', u'cause', u'non', u'contingent', u'potential', u'curves']",[0],7
1999-2002,6,Dynamical Causal Learning,Augmented Rescorla-Wagner and Maximum Likelihood Estimation,2.496,2.496,2158,"[u'causal', u'model', u'learning', u'power', u'theory', u'cause', u'non', u'contingent', u'potential', u'curves']",[0],7
2002-2005,7,Dynamical Causal Learning,The Rescorla-Wagner Algorithm and Maximum Likelihood Estimation of Causal Parameters,0.0,0.0,2158,"[u'causal', u'model', u'learning', u'power', u'theory', u'cause', u'non', u'contingent', u'potential', u'curves']",[9],7
2002-2005,7,Dynamical Causal Learning,Augmented Rescorla-Wagner and Maximum Likelihood Estimation,0.0,0.0,2158,"[u'causal', u'model', u'learning', u'power', u'theory', u'cause', u'non', u'contingent', u'potential', u'curves']",[9],7
2008-2011,8,Why The Brain Separates Face Recognition From Object Recognition,Learning invariant representations and applications to face verification,0.0,0.0,4318,"[u'image', u'images', u'object', u'visual', u'concept', u'content', u'objects', u'class', u'set', u'face']",[7],5
2011-2014,9,Why The Brain Separates Face Recognition From Object Recognition,Learning invariant representations and applications to face verification,0.0,0.0,4318,"[u'class', u'object', u'visual', u'face', u'vol', u'viewpoint', u'objects', u'model', u'faces', u'cells']",[0],5
2011-2014,10,Optimal kernel choice for large-scale two-sample tests,Statistical analysis of coupled time series with Kernel Cross-Spectral Density operators.,0.15,0.15,4727,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2011-2014,10,Optimal kernel choice for large-scale two-sample tests,"B-test: A Non-parametric, Low Variance Kernel Two-sample Test",0.15,0.15,4727,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2011-2014,10,Optimal kernel choice for large-scale two-sample tests,Fast Two-Sample Testing with Analytic Representations of Probability Measures,0.265,0.265,4727,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2011-2014,10,Optimal kernel choice for large-scale two-sample tests,Interpretable Distribution Features with Maximum Testing Power,0.569,0.569,4727,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2011-2014,10,Optimal kernel choice for large-scale two-sample tests,Multivariate tests of association based on univariate tests,0.144,0.144,4727,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2002-2005,11,Saliency Based on Information Maximization,Graph-Based Visual Saliency,0.194,0.194,2830,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,11,Saliency Based on Information Maximization,Dynamic visual attention: searching for coding length increments,0.201,0.201,2830,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2005-2008,12,Saliency Based on Information Maximization,Graph-Based Visual Saliency,0.712,0.712,2830,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
2005-2008,12,Saliency Based on Information Maximization,Dynamic visual attention: searching for coding length increments,30.314,30.314,2830,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
1993-1996,13,A Variational Principle for Model-based Morphing,Example-Based Image Synthesis of Articulated Figures,0.167,0.167,1283,"[u'path', u'data', u'model', u'two', u'based', u'problem', u'functional', u'models', u'points', u'density']",[0],4
1996-1999,0,A Variational Principle for Model-based Morphing,Example-Based Image Synthesis of Articulated Figures,0.138,0.138,1283,"[u'data', u'model', u'algorithm', u'learning', u'matrix', u'space', u'function', u'risk', u'gaussian', u'binary']",[0],4
1990-1993,1,Learning to categorize objects using temporal coherence,Learning Temporally Persistent Hierarchical Representations,0.051,0.051,596,"[u'network', u'learning', u'time', u'unit', u'output', u'pattern', u'information', u'units', u'temporal', u'patterns']",[8],1
1990-1993,1,Learning to categorize objects using temporal coherence,JPMAX: Learning to Recognize Moving Objects as a Model-fitting Problem,0.0,0.0,596,"[u'network', u'learning', u'time', u'unit', u'output', u'pattern', u'information', u'units', u'temporal', u'patterns']",[8],1
2008-2011,2,Neurometric function analysis of population codes,Evaluating neuronal codes for inference using Fisher information,0.0,0.0,3631,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,2,Neurometric function analysis of population codes,Implicit encoding of prior probabilities in optimal neural populations,0.175,0.175,3631,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2005-2008,3,Modeling homophily and stochastic equivalence in symmetric relational data,Gaussian Process Models for Link Analysis and Transfer Learning,0.056,0.056,3294,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,3,Modeling homophily and stochastic equivalence in symmetric relational data,Confidence Sets for Network Structure,0.189,0.189,3294,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,3,Modeling homophily and stochastic equivalence in symmetric relational data,Random function priors for exchangeable arrays with applications to graphs and relational data,0.2,0.2,3294,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,3,Modeling homophily and stochastic equivalence in symmetric relational data,Random function priors for exchangeable arrays with applications to graphs and relational data,9.727,9.727,3294,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,3,Modeling homophily and stochastic equivalence in symmetric relational data,Stochastic blockmodel approximation of a graphon: Theory and consistent estimation,0.282,0.282,3294,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,3,Modeling homophily and stochastic equivalence in symmetric relational data,Reducing the Rank in Relational Factorization Models by Including Observable Patterns,10.97,10.97,3294,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,3,Modeling homophily and stochastic equivalence in symmetric relational data,Bayesian latent structure discovery from multi-neuron recordings,2.912,2.912,3294,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2008-2011,4,A concave regularization technique for sparse mixture models,On Algorithms for Sparse Multi-factor NMF,0.059,0.059,4430,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2011-2014,5,A concave regularization technique for sparse mixture models,On Algorithms for Sparse Multi-factor NMF,0.068,0.068,4430,"[u'decision', u'model', u'effects', u'rankings', u'models', u'feature', u'decisions', u'utility', u'preference', u'participants']",[6],3
2005-2008,6,Supervised Topic Models,Latent Support Measure Machines for Bag-of-Words Data Classification,0.056,0.056,3328,"[u'response', u'model', u'document', u'topic', u'slda', u'topics', u'variational', u'lda', u'log', u'distribution']",[1],4
2008-2011,7,Neural Implementation of Hierarchical Bayesian Inference by Importance Sampling,Rational inference of relative preferences,0.175,0.175,3782,"[u'image', u'images', u'object', u'visual', u'concept', u'content', u'objects', u'class', u'set', u'face']",[7],5
1999-2002,8,Sampling Techniques for Kernel Methods,Hierarchical Eigensolver for Transition Matrices in Spectral Methods,0.134,0.134,2072,"[u'classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
1999-2002,8,Sampling Techniques for Kernel Methods,QUIC-SVD: Fast SVD Using Cosine Trees,0.061,0.061,2072,"[u'classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
2002-2005,9,Online Learning of Non-stationary Sequences,Nearly Tight Bounds for the Continuum-Armed Bandit Problem,0.359,0.359,2440,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
1990-1993,10,Diffusion Approximations for the Constant Learning Rate Backpropagation Algorithm and Resistence to Local Minima,Asymptotics of Gradient-based Neural Network Training Algorithms,2.463,2.463,650,"[u'network', u'learning', u'time', u'unit', u'output', u'pattern', u'information', u'units', u'temporal', u'patterns']",[8],1
2011-2014,11,Robust learning of low-dimensional dynamics from large neural ensembles,Clustered factor analysis of multineuronal spike data,3.181,3.181,4995,"[u'data', u'model', u'neurons', u'neural', u'models', u'linear', u'matrix', u'activity', u'time', u'parameters']",[6],1
1993-1996,12,Examples of learning curves from a modified VC-formalism,MLP Can Provably Generalize Much Better than VC-bounds Indicate,1.679,1.679,1086,"[u'learning', u'curves', u'bound', u'bounds', u'error', u'formalism', u'estimate', u'lii', u'ihli', u'line']",[7],0
2011-2014,13,Algorithm selection by rational metareasoning as a model of human strategy selection,Human Decision-Making under Limited Time,0.242,0.242,5552,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
